AppId	signaler	detected_ETS-related_type	ETS-related_type_oracle	correctness_comparison_result
com.levelup.beautifulwidgets-105	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
cn.htbn.launcher-478	android.content.res.Resources.getText	ParaAndField	ParaAndField	true
kr.co.nsaram-407	android.os.Parcel.readException	Unknown	Unknown	true
droidconsulting.livewallpaper10free-476	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.myloveisyy.doodlebubble-342	android.os.Parcel.readException	Unknown	Unknown	true
org.vinczu.ultimatefishingknots-132	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.manle.phone.android.baby-84	android.os.Parcel.readException	Unknown	Unknown	true
com.myloveisyy.safenote-323	android.os.Parcel.readException	Unknown	Unknown	true
com.shenyuan.militarynews-80	android.database.sqlite.SQLiteClosable.acquireReference	Field	Field	true
cn.hiyou.activity-256	android.os.Parcel.readException	Unknown	Unknown	true
org.iplatform.android.phone2-31	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.catbag.sonswhatsapp-23	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.cordonbleu.wifipasswordrecovery-35	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.adtube.tube-89	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.smallapp.BlowApp-439	android.media.AudioRecord.startRecording	Field	Field	true
com.douban.event-250	android.os.Parcel.readException	Unknown	Unknown	true
com.bruno.myapps.droidwallet-260	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.enrasoft.camera.ghost.detector-149	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.changemystyle.gentlewakeup-416	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
be.thomashermine.prochainbus-96	android.os.Parcel.readException	Unknown	Unknown	true
com.xing.android-74	android.content.res.Resources.getValue	ParaAndField	ParaAndField	true
com.orange.mylivebox.fr-41	android.content.res.Resources.getValue	ParaAndField	ParaAndField	true
sina.mobile.tianqitong-458	android.os.Parcel.readException	Unknown	Unknown	true
com.cg.android.birthdaycountdown-393	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
com.rcpopo-112	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.weightwatchers.mobile-46	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.keangame.popice-228	android.os.Parcel.readException	Unknown	Unknown	true
com.javaexp.alarm-160	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.stupendous.istqbsamplepapersf-91	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
com.yikao.app-50	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
mo.in.en.photofolder-166	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.androidapps.widget.weather2-403	android.os.Parcel.readException	Unknown	Unknown	true
com.icechen1.speechjammer-217	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.turkusoz_tablet-287	android.content.res.Resources.getText	ParaAndField	ParaAndField	true
com.chinatan-146	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
de.jugendfeuerwehrsteinhagen.app-363	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.hope.flashgameplayer-335	android.os.Parcel.readException	Unknown	Unknown	true
com.jrj.christmas-470	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.baidu.searchbox-296	android.os.Parcel.readException	Unknown	Unknown	true
cn.mzyou.mzgame.douniu-255	android.os.Parcel.readException	Unknown	Unknown	true
com.xixun.textimage-276	android.os.Parcel.readException	Unknown	Unknown	true
egovframework.tcpor.mobile.csr-195	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
org.dangge-272	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.blueskyapps.rugbyworldcup-431	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
droid.iPlaya-179	android.os.Parcel.readException	Unknown	Unknown	true
com.dridev.kamusku-491	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.tircycle.halfclub-120	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.ahmaeyad.vid.h_sh-117	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
